27,"Code and Mortar",Test,irina@norex.ca,9029569842,"B3B 0E8",2019-03-04
28,Rin,Test,irina@norex.ca,9029569842,"B3B 0E8",2019-03-04
29,"Code and Mortar",Test,9029569842,irina@norex.ca,"B3B 0E8",2019-03-04
30,Jenelle,Sobey,irina@norex.ca,9029569842,"B3B 0E8",2016-06-06
31,Jenelle,Sobey,irina@norex.ca,9029569842,"B3B 0E8",2019-06-10
32,"THIS IS A TEST BY C + M",TEST,rin@codeandmortar.com,9029569842,"B3B 0E8",2015-02-10
33,Rin,Test,irina@norex.ca,9029569842,"B3B 0E8",2019-10-15
34,"Code and Mortar",hiuhiuh,irina@norex.ca,9029569842,"B3B 0E8",2019-03-08
35,"Code and Mortar",Test,9029569842,irina@norex.ca,"B3B 0E8",2019-03-04
36,"Code and Mortar",Test,9029569842,irina@norex.ca,"B3B 0E8",2019-03-04
